,Classifier,Parameters,Train accuracy,Test accuracy,Train top 5 accuracy,Test top 5 accuracy,Train computation time,Test computation time,Experiment
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.015374332,0.007042254,0.074197861,0.063380282,2.789488316,0.001279354,RGB of the non-background K-means cluster centre
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.427473262,0.397887324,0.847927807,0.823943662,2.922390223,0.000289679,RGB of the non-background K-means cluster centre
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0, solver='lsqr')",0.470254011,0.440140845,0.897727273,0.862676056,0.16663599,0.00020504,RGB of the non-background K-means cluster centre
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.643382353,0.383802817,0.993315508,0.76056338,0.100343704,0.007596016,RGB of the non-background K-means cluster centre
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=9,
                       random_state=1)",0.614973262,0.320422535,0.980280749,0.669014085,0.544619083,0.000147104,RGB of the non-background K-means cluster centre
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.801136364,0.38028169,0.992312834,0.830985915,22.09901786,0.032836199,RGB of the non-background K-means cluster centre
6,Naive Bayes,GaussianNB(),0.366644385,0.320422535,0.76671123,0.693661972,0.111812115,0.002659082,RGB of the non-background K-means cluster centre
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=100, gamma=0.1, probability=True,
                                  random_state=1))",0.478275401,0.429577465,0.853609626,0.806338028,270.2110078,0.329011202,RGB of the non-background K-means cluster centre
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.015374332,0.007042254,0.074197861,0.063380282,2.741687059,0.000928879,HSV of the non-background K-means cluster centre
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.345254011,0.295774648,0.744652406,0.728873239,2.564399004,0.000221252,HSV of the non-background K-means cluster centre
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0.5, solver='lsqr')",0.352272727,0.309859155,0.747660428,0.718309859,0.187664032,0.000200272,HSV of the non-background K-means cluster centre
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.621323529,0.376760563,0.990307487,0.757042254,0.16775918,0.007337332,HSV of the non-background K-means cluster centre
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=9,
                       random_state=1)",0.601938503,0.38028169,0.969585561,0.707746479,0.637106895,0.000145197,HSV of the non-background K-means cluster centre
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.758355615,0.429577465,0.988970588,0.813380282,17.56568909,0.016536236,HSV of the non-background K-means cluster centre
6,Naive Bayes,GaussianNB(),0.505347594,0.404929577,0.894719251,0.834507042,0.067527294,0.002583981,HSV of the non-background K-means cluster centre
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=10, gamma=0.1, probability=True,
                                  random_state=1))",0.388703209,0.320422535,0.765708556,0.700704225,269.2649069,0.370936871,HSV of the non-background K-means cluster centre
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.015374332,0.007042254,0.074197861,0.063380282,0.04134202,0.001624823,LAB of the non-background K-means cluster centre
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.431149733,0.419014085,0.873663102,0.838028169,3.049892664,0.000261784,LAB of the non-background K-means cluster centre
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0, solver='lsqr')",0.468248663,0.440140845,0.898061497,0.866197183,0.151241064,0.000197887,LAB of the non-background K-means cluster centre
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.668449198,0.461267606,0.996991979,0.816901408,0.101979017,0.009130001,LAB of the non-background K-means cluster centre
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=9,
                       random_state=1)",0.649398396,0.464788732,0.983622995,0.73943662,0.558227062,0.00022769,LAB of the non-background K-means cluster centre
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.806483957,0.478873239,0.996657754,0.876760563,20.94518518,0.017951965,LAB of the non-background K-means cluster centre
